,시도,인구수,연도,월,사용량,위도,경도
297,대구광역시,2509297.0,2011,10,1125749.0,35.825757,128.576897
298,대구광역시,2508935.0,2011,11,1176821.0,35.825757,128.576897
299,대구광역시,2507271.0,2011,12,1281465.0,35.825757,128.576897
300,대구광역시,2508370.0,2012,1,1386340.0,35.825757,128.576897
301,대구광역시,2508563.0,2012,2,1375774.0,35.825757,128.576897
302,대구광역시,2507586.0,2012,3,1281521.0,35.825757,128.576897
303,대구광역시,2507310.0,2012,4,1229268.0,35.825757,128.576897
304,대구광역시,2507022.0,2012,5,1135952.0,35.825757,128.576897
305,대구광역시,2506977.0,2012,6,1160770.0,35.825757,128.576897
306,대구광역시,2506969.0,2012,7,1214720.0,35.825757,128.576897
307,대구광역시,2507715.0,2012,8,1345137.0,35.825757,128.576897
308,대구광역시,2507791.0,2012,9,1227950.0,35.825757,128.576897
309,대구광역시,2507571.0,2012,10,1084282.0,35.825757,128.576897
310,대구광역시,2507910.0,2012,11,1190760.0,35.825757,128.576897
311,대구광역시,2505644.0,2012,12,1322485.0,35.825757,128.576897
312,대구광역시,2504945.0,2013,1,1437877.0,35.825757,128.576897
313,대구광역시,2505040.0,2013,2,1336301.0,35.825757,128.576897
314,대구광역시,2504623.0,2013,3,1214829.0,35.825757,128.576897
315,대구광역시,2504888.0,2013,4,1220101.0,35.825757,128.576897
316,대구광역시,2505083.0,2013,5,1166224.0,35.825757,128.576897
317,대구광역시,2503728.0,2013,6,1175504.0,35.825757,128.576897
318,대구광역시,2503604.0,2013,7,1272957.0,35.825757,128.576897
319,대구광역시,2503400.0,2013,8,1381189.0,35.825757,128.576897
320,대구광역시,2503679.0,2013,9,1255073.0,35.825757,128.576897
321,대구광역시,2503648.0,2013,10,1126448.0,35.825757,128.576897
322,대구광역시,2503283.0,2013,11,1189890.0,35.825757,128.576897
323,대구광역시,2501588.0,2013,12,1303660.0,35.825757,128.576897
324,대구광역시,2501823.0,2014,1,1377672.0,35.825757,128.576897
325,대구광역시,2500778.0,2014,2,1314569.0,35.825757,128.576897
326,대구광역시,2500874.0,2014,3,1246283.0,35.825757,128.576897
327,대구광역시,2499880.0,2014,4,1222595.0,35.825757,128.576897
328,대구광역시,2498632.0,2014,5,1143206.0,35.825757,128.576897
329,대구광역시,2498450.0,2014,6,1182480.0,35.825757,128.576897
330,대구광역시,2497705.0,2014,7,1255757.0,35.825757,128.576897
331,대구광역시,2496596.0,2014,8,1273769.0,35.825757,128.576897
332,대구광역시,2491269.0,2014,9,1182542.0,35.825757,128.576897
333,대구광역시,2492994.0,2014,10,1147482.0,35.825757,128.576897
334,대구광역시,2493857.0,2014,11,1190355.0,35.825757,128.576897
335,대구광역시,2493264.0,2014,12,1322076.0,35.825757,128.576897
336,대구광역시,2492658.0,2015,1,1417385.0,35.825757,128.576897
337,대구광역시,2492583.0,2015,2,1344788.0,35.825757,128.576897
338,대구광역시,2491897.0,2015,3,1233059.0,35.825757,128.576897
339,대구광역시,2491545.0,2015,4,1244033.0,35.825757,128.576897
340,대구광역시,2491867.0,2015,5,1149079.0,35.825757,128.576897
341,대구광역시,2491137.0,2015,6,1203042.0,35.825757,128.576897
342,대구광역시,2490799.0,2015,7,1224159.0,35.825757,128.576897
343,대구광역시,2490621.0,2015,8,1334385.0,35.825757,128.576897
344,대구광역시,2490584.0,2015,9,1226328.0,35.825757,128.576897
345,대구광역시,2489847.0,2015,10,1119902.0,35.825757,128.576897
346,대구광역시,2489339.0,2015,11,1179855.0,35.825757,128.576897
347,대구광역시,2487829.0,2015,12,1271693.0,35.825757,128.576897
348,대구광역시,2487823.0,2016,1,1371791.0,35.825757,128.576897
349,대구광역시,2486589.0,2016,2,1364933.0,35.825757,128.576897
350,대구광역시,2486059.0,2016,3,1281266.0,35.825757,128.576897
351,대구광역시,2485663.0,2016,4,1216827.0,35.825757,128.576897
352,대구광역시,2485134.0,2016,5,1143952.0,35.825757,128.576897
353,대구광역시,2484864.0,2016,6,1210881.0,35.825757,128.576897
354,대구광역시,2484856.0,2016,7,1282697.0,35.825757,128.576897
355,대구광역시,2485537.0,2016,8,1423080.0,35.825757,128.576897
356,대구광역시,2485692.0,2016,9,1271426.0,35.825757,128.576897
357,대구광역시,2485484.0,2016,10,1155560.0,35.825757,128.576897
358,대구광역시,2485535.0,2016,11,1224999.0,35.825757,128.576897
359,대구광역시,2484557.0,2016,12,1320700.0,35.825757,128.576897
360,대구광역시,2484688.0,2017,1,1391376.0,35.825757,128.576897
361,대구광역시,2484578.0,2017,2,1375375.0,35.825757,128.576897
362,대구광역시,2483488.0,2017,3,1263786.0,35.825757,128.576897
363,대구광역시,2483105.0,2017,4,1234859.0,35.825757,128.576897
364,대구광역시,2482476.0,2017,5,1147637.0,35.825757,128.576897
365,대구광역시,2481985.0,2017,6,1218416.0,35.825757,128.576897
366,대구광역시,2481489.0,2017,7,1349359.0,35.825757,128.576897
367,대구광역시,2479887.0,2017,8,1413997.0,35.825757,128.576897
368,대구광역시,2478236.0,2017,9,1306140.0,35.825757,128.576897
369,대구광역시,2477186.0,2017,10,1107848.0,35.825757,128.576897
370,대구광역시,2476557.0,2017,11,1220287.0,35.825757,128.576897
