,년월,연도,월,시도,사용량,주택가격변동률
264,2013_2,2013,2,세종특별자치시,198312,0
265,2013_2,2013,2,울산광역시,2307962,1.52
266,2013_2,2013,2,인천광역시,1981709,0.06
267,2013_2,2013,2,전라남도,2462649,1.01
268,2013_2,2013,2,전라북도,1840946,1.45
269,2013_2,2013,2,제주특별자치도,370123,0.11
270,2013_2,2013,2,충청남도,3622246,1.03
271,2013_2,2013,2,충청북도,1878491,1.09
272,2014_2,2014,2,강원도,1447941,-0.26
273,2014_2,2014,2,경기도,9131444,0
274,2014_2,2014,2,경상남도,3029916,0.59
275,2014_2,2014,2,경상북도,3841506,0.15
276,2014_2,2014,2,광주광역시,723756,0.59
277,2014_2,2014,2,대구광역시,1314569,0.19
278,2014_2,2014,2,대전광역시,806306,-0.82
279,2014_2,2014,2,부산광역시,1741473,0.5
280,2014_2,2014,2,서울특별시,3974971,0.13
281,2014_2,2014,2,세종특별자치시,201659,0
282,2014_2,2014,2,울산광역시,2369736,0.38
283,2014_2,2014,2,인천광역시,1927635,-0.08
284,2014_2,2014,2,전라남도,2541771,0.64
285,2014_2,2014,2,전라북도,1936290,0.24
286,2014_2,2014,2,제주특별자치도,392464,0
287,2014_2,2014,2,충청남도,3924659,0.46
288,2014_2,2014,2,충청북도,1900973,0.16
289,2015_2,2015,2,강원도,1498837,1.52
290,2015_2,2015,2,경기도,9380604,0.02
291,2015_2,2015,2,경상남도,3071402,1.13
292,2015_2,2015,2,경상북도,3806760,0.46
293,2015_2,2015,2,광주광역시,741223,1.59
294,2015_2,2015,2,대구광역시,1344788,0.77
295,2015_2,2015,2,대전광역시,815725,1.89
296,2015_2,2015,2,부산광역시,1736816,1.13
297,2015_2,2015,2,서울특별시,4023566,-0.02
298,2015_2,2015,2,세종특별자치시,222786,0
299,2015_2,2015,2,울산광역시,2374187,0.99
300,2015_2,2015,2,인천광역시,1944363,-0.15
301,2015_2,2015,2,전라남도,2613495,0.93
302,2015_2,2015,2,전라북도,1932315,0.9
303,2015_2,2015,2,제주특별자치도,421680,0.14
304,2015_2,2015,2,충청남도,3927672,0.4
305,2015_2,2015,2,충청북도,1952327,0.95
306,2016_2,2016,2,강원도,1550976,1.34
307,2016_2,2016,2,경기도,9892365,0.02
308,2016_2,2016,2,경상남도,3162965,0.84
309,2016_2,2016,2,경상북도,3756360,0.32
310,2016_2,2016,2,광주광역시,756943,1.37
311,2016_2,2016,2,대구광역시,1364933,0.62
