,연도,시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
164,2019,인천광역시,2309124,2028323,2006746,1975424,1912787,1897766,2039203,2226318,2030427,1821469,1921931,2111170
165,2019,전라남도,2960741,2731063,2831531,2791913,2622310,2429144,2648712,2785148,2745194,2617393,2498812,2723427
166,2019,전라북도,2059375,1898888,1934090,1887329,1788362,1700388,1751150,1851288,1865632,1792961,1821636,1929592
167,2019,제주특별자치도,504995,505067,451731,460017,413147,404085,420071,507465,461504,402849,403996,439357
168,2019,충청남도,4792097,4297030,4414219,4272633,4294717,4253487,4475404,4611353,4253081,4141846,4338290,4500697
169,2019,충청북도,2464536,2238691,2246393,2224874,2125680,2097133,2215303,2320540,2162975,2110201,2170273,2355705
170,2020,강원도,1547410,1501655,1400869,1346006,1225449,1209426,1218509,1263509,1313721,1236878,1360652,1495982
171,2020,경기도,11278340,10853826,10401852,9788491,9306590,9860838,10406069,10976452,10912340,9507671,10142580,11253914
172,2020,경상남도,3168932,3125833,2954776,2735448,2446865,2569712,2698203,2840866,2971651,2570214,2847815,3139659
173,2020,경상북도,3760339,3562814,3480140,3313283,3077453,3056814,3281092,3470234,3581368,3275161,3456222,3686707
174,2020,광주광역시,756532,740068,696886,660659,610865,685306,723738,785930,810366,644709,681435,734615
175,2020,대구광역시,1361827,1314568,1200565,1137812,1044272,1149699,1221759,1318926,1398370,1102514,1190723,1317533
176,2020,대전광역시,853129,830839,771329,720330,685457,756242,799435,851834,873979,729618,713731,819296
177,2020,부산광역시,1832430,1782217,1670111,1607069,1510099,1615016,1701538,1883786,1944267,1555323,1623880,1778233
178,2020,서울특별시,4197026,4037392,3657444,3410967,3295839,3730294,4074026,4438534,4284346,3313412,3450679,3897966
179,2020,세종특별자치시,288845,283275,280549,264607,252302,269349,284687,294023,310726,266062,288056,310743
180,2020,울산광역시,2913837,2707435,2856122,2702238,2684999,2510484,2720164,2871555,2851863,2770770,2713150,2855220
181,2020,인천광역시,2108033,2062334,1997984,1884823,1801113,1873175,1962282,2075731,2112103,1783811,1885452,2091741
182,2020,전라남도,2773472,2619058,2603919,2587626,2435207,2361475,2525928,2689690,2789449,2512669,2416994,2658487
183,2020,전라북도,2022692,1903234,1740083,1642399,1547439,1533556,1567216,1658484,1803285,1594954,1695470,1830099
184,2020,제주특별자치도,491120,492245,451371,445261,408575,408215,424457,511679,481909,390770,411424,456261
185,2020,충청남도,4571805,4377240,4415486,4072519,3920034,4049676,4245607,4411688,4363187,3720147,4008747,4266597
186,2020,충청북도,2401135,2304328,2291113,2155659,2075063,2113611,2213059,2256294,2307863,2090628,2259110,2434030
187,2021,강원도,1629812,1539605,1395074,1334516,1291702,1274174,1320822,1449135,1312553,1280881,1406178,1573555
188,2021,경기도,12319589,11464174,10668287,10338339,10024930,10512799,11597452,12196364,11371799,10387205,10761065,11803946
189,2021,경상남도,3449241,3131331,2991661,2881552,2712794,2822799,3008611,3128818,2906446,2697874,2868923,3134010
190,2021,경상북도,3998481,3673374,3621472,3619611,3600524,3506078,3702200,3766708,3678036,3627776,3609835,3854201
191,2021,광주광역시,811864,767227,697761,696052,659751,713735,790946,876521,781758,705604,710814,761414
192,2021,대구광역시,1443838,1342988,1222748,1210022,1153415,1232554,1344663,1461379,1301387,1175079,1221063,1334812
193,2021,대전광역시,912804,847141,771955,751324,708974,774709,862437,965782,830846,754358,753811,814480
194,2021,부산광역시,1862280,1762335,1656492,1654340,1572221,1676954,1861381,2037219,1842289,1680885,1674216,1787220
195,2021,서울특별시,4400410,4134045,3550751,3449257,3324763,3701621,4406553,5103868,4145083,3578614,3537141,3963700
196,2021,세종특별자치시,334176,304010,296000,287524,275185,292890,315299,339002,309351,286701,297290,957934
197,2021,울산광역시,2943785,2646795,2812601,2716614,2682797,2685454,2881832,2911724,2861562,2797170,2746286,2906502
198,2021,인천광역시,2258624,2089431,2021302,1952161,1904260,2000698,2191297,2387486,2065171,1925023,1946417,2159324
199,2021,전라남도,2844658,2738900,2724005,2670493,2722103,2648105,2856350,3073050,2836764,2726495,2679718,2966246
200,2021,전라북도,1997136,1830234,1771153,1725471,1667691,1697453,1803462,1923328,1791056,1679464,1736069,1864342
201,2021,제주특별자치도,518258,503324,450805,461823,430958,437447,486838,544310,495549,446949,438179,473291
202,2021,충청남도,4434196,4039445,4077387,3876573,3877528,3770865,4137216,4257399,3978322,3855222,4108694,4388778
203,2021,충청북도,2596409,2373601,2344911,2274004,2232679,2283540,2404437,2507863,2310912,2232923,2333918,2506864
