,연도,월,시도,고용률,사용량,위도,경도
431,2021,12,대구광역시,58.0,1334812,35.825757,128.576897
432,2010,1,인천광역시,57.9,2016429,37.455307,126.70392
433,2010,2,인천광역시,57.7,1841774,37.455307,126.70392
434,2010,3,인천광역시,58.6,1797828,37.455307,126.70392
435,2010,4,인천광역시,59.9,1825715,37.455307,126.70392
436,2010,5,인천광역시,60.6,1707125,37.455307,126.70392
437,2010,6,인천광역시,60.3,1728906,37.455307,126.70392
438,2010,7,인천광역시,61.3,1766598,37.455307,126.70392
439,2010,8,인천광역시,59.8,1861369,37.455307,126.70392
440,2010,9,인천광역시,59.7,1807585,37.455307,126.70392
441,2010,10,인천광역시,60.0,1690609,37.455307,126.70392
442,2010,11,인천광역시,60.5,1802665,37.455307,126.70392
443,2010,12,인천광역시,59.5,1980971,37.455307,126.70392
444,2011,1,인천광역시,58.2,2160417,37.455307,126.70392
445,2011,2,인천광역시,58.0,1883873,37.455307,126.70392
446,2011,3,인천광역시,59.0,1925528,37.455307,126.70392
447,2011,4,인천광역시,60.4,1859019,37.455307,126.70392
