,연도,시도,월,사용량
468,2013,세종특별자치시,3,193991
469,2013,울산광역시,3,2359822
470,2013,인천광역시,3,1914157
471,2013,전라남도,3,2561902
472,2013,전라북도,3,1884301
473,2013,제주특별자치도,3,331589
474,2013,충청남도,3,3808302
475,2013,충청북도,3,1831061
476,2014,강원도,3,1394556
477,2014,경기도,3,8604750
478,2014,경상남도,3,2944134
479,2014,경상북도,3,4015412
480,2014,광주광역시,3,683278
481,2014,대구광역시,3,1246283
482,2014,대전광역시,3,757265
483,2014,부산광역시,3,1675854
484,2014,서울특별시,3,3547923
485,2014,세종특별자치시,3,208030
486,2014,울산광역시,3,2565806
487,2014,인천광역시,3,1876836
488,2014,전라남도,3,2804619
489,2014,전라북도,3,1930533
490,2014,제주특별자치도,3,359620
491,2014,충청남도,3,4085945
492,2014,충청북도,3,1921157
493,2015,강원도,3,1438930
494,2015,경기도,3,8783408
495,2015,경상남도,3,2964230
496,2015,경상북도,3,3833618
497,2015,광주광역시,3,686980
498,2015,대구광역시,3,1233059
499,2015,대전광역시,3,761115
500,2015,부산광역시,3,1655945
501,2015,서울특별시,3,3592926
502,2015,세종특별자치시,3,222292
503,2015,울산광역시,3,2464928
504,2015,인천광역시,3,1959769
505,2015,전라남도,3,2949659
506,2015,전라북도,3,1943996
507,2015,제주특별자치도,3,378029
508,2015,충청남도,3,4025780
509,2015,충청북도,3,1965128
510,2016,강원도,3,1467505
511,2016,경기도,3,9305513
512,2016,경상남도,3,3061924
513,2016,경상북도,3,3898041
514,2016,광주광역시,3,714023
515,2016,대구광역시,3,1281266
516,2016,대전광역시,3,790757
517,2016,부산광역시,3,1717796
518,2016,서울특별시,3,3729909
519,2016,세종특별자치시,3,241009
520,2016,울산광역시,3,2760005
521,2016,인천광역시,3,2033501
522,2016,전라남도,3,2766219
523,2016,전라북도,3,2003641
524,2016,제주특별자치도,3,404279
525,2016,충청남도,3,4090460
526,2016,충청북도,3,1979334
527,2017,강원도,3,1460105
528,2017,경기도,3,9551033
529,2017,경상남도,3,2992019
530,2017,경상북도,3,3827880
531,2017,광주광역시,3,717911
532,2017,대구광역시,3,1263786
533,2017,대전광역시,3,779387
534,2017,부산광역시,3,1693920
535,2017,서울특별시,3,3649111
536,2017,세종특별자치시,3,247248
537,2017,울산광역시,3,2659206
538,2017,인천광역시,3,2042082
539,2017,전라남도,3,2846966
540,2017,전라북도,3,1996166
541,2017,제주특별자치도,3,415698
542,2017,충청남도,3,4277074
543,2017,충청북도,3,2138945
544,2018,강원도,3,1485135
545,2018,경기도,3,9993520
546,2018,경상남도,3,2967940
547,2018,경상북도,3,3850248
548,2018,광주광역시,3,698660
549,2018,대구광역시,3,1253100
550,2018,대전광역시,3,784247
551,2018,부산광역시,3,1714122
552,2018,서울특별시,3,3657824
553,2018,세종특별자치시,3,251895
554,2018,울산광역시,3,2696446
555,2018,인천광역시,3,2050296
556,2018,전라남도,3,2621639
557,2018,전라북도,3,1926654
558,2018,제주특별자치도,3,431990
559,2018,충청남도,3,4370209
560,2018,충청북도,3,2182346
561,2019,강원도,3,1401415
562,2019,경기도,3,10069948
563,2019,경상남도,3,2903814
564,2019,경상북도,3,3868963
565,2019,광주광역시,3,682608
566,2019,대구광역시,3,1213326
567,2019,대전광역시,3,759955
568,2019,부산광역시,3,1652037
569,2019,서울특별시,3,3582654
570,2019,세종특별자치시,3,259636
571,2019,울산광역시,3,2809607
572,2019,인천광역시,3,2006746
573,2019,전라남도,3,2831531
