,연월,연도,월,시도,고용률
324,2011_01,2011,1,대구광역시,56.0
325,2011_02,2011,2,대구광역시,55.3
326,2011_03,2011,3,대구광역시,56.1
327,2011_04,2011,4,대구광역시,56.9
328,2011_05,2011,5,대구광역시,56.6
329,2011_06,2011,6,대구광역시,57.0
330,2011_07,2011,7,대구광역시,57.2
331,2011_08,2011,8,대구광역시,56.2
332,2011_09,2011,9,대구광역시,56.6
333,2011_10,2011,10,대구광역시,58.1
334,2011_11,2011,11,대구광역시,58.1
335,2011_12,2011,12,대구광역시,57.7
336,2012_01,2012,1,대구광역시,57.9
337,2012_02,2012,2,대구광역시,57.2
338,2012_03,2012,3,대구광역시,57.4
339,2012_04,2012,4,대구광역시,58.3
340,2012_05,2012,5,대구광역시,59.1
341,2012_06,2012,6,대구광역시,59.2
342,2012_07,2012,7,대구광역시,59.4
343,2012_08,2012,8,대구광역시,58.6
344,2012_09,2012,9,대구광역시,58.4
345,2012_10,2012,10,대구광역시,58.4
346,2012_11,2012,11,대구광역시,58.3
347,2012_12,2012,12,대구광역시,58.3
348,2013_01,2013,1,대구광역시,58.1
349,2013_02,2013,2,대구광역시,57.2
350,2013_03,2013,3,대구광역시,57.7
351,2013_04,2013,4,대구광역시,58.0
352,2013_05,2013,5,대구광역시,58.0
353,2013_06,2013,6,대구광역시,58.2
354,2013_07,2013,7,대구광역시,58.1
355,2013_08,2013,8,대구광역시,57.4
356,2013_09,2013,9,대구광역시,57.4
357,2013_10,2013,10,대구광역시,58.1
358,2013_11,2013,11,대구광역시,58.5
359,2013_12,2013,12,대구광역시,58.4
360,2014_01,2014,1,대구광역시,58.0
361,2014_02,2014,2,대구광역시,57.8
362,2014_03,2014,3,대구광역시,58.1
363,2014_04,2014,4,대구광역시,58.6
364,2014_05,2014,5,대구광역시,58.7
365,2014_06,2014,6,대구광역시,58.9
366,2014_07,2014,7,대구광역시,59.0
367,2014_08,2014,8,대구광역시,59.4
368,2014_09,2014,9,대구광역시,59.1
369,2014_10,2014,10,대구광역시,58.8
370,2014_11,2014,11,대구광역시,59.0
371,2014_12,2014,12,대구광역시,59.0
372,2015_01,2015,1,대구광역시,58.6
373,2015_02,2015,2,대구광역시,58.7
374,2015_03,2015,3,대구광역시,58.9
375,2015_04,2015,4,대구광역시,59.1
376,2015_05,2015,5,대구광역시,60.1
377,2015_06,2015,6,대구광역시,60.7
378,2015_07,2015,7,대구광역시,60.1
379,2015_08,2015,8,대구광역시,59.2
380,2015_09,2015,9,대구광역시,59.5
381,2015_10,2015,10,대구광역시,59.5
382,2015_11,2015,11,대구광역시,59.5
383,2015_12,2015,12,대구광역시,59.6
384,2016_01,2016,1,대구광역시,58.6
385,2016_02,2016,2,대구광역시,57.5
386,2016_03,2016,3,대구광역시,58.3
387,2016_04,2016,4,대구광역시,58.9
388,2016_05,2016,5,대구광역시,60.0
389,2016_06,2016,6,대구광역시,59.9
390,2016_07,2016,7,대구광역시,60.2
391,2016_08,2016,8,대구광역시,60.1
392,2016_09,2016,9,대구광역시,59.9
393,2016_10,2016,10,대구광역시,59.6
394,2016_11,2016,11,대구광역시,59.7
395,2016_12,2016,12,대구광역시,59.1
396,2017_01,2017,1,대구광역시,58.5
397,2017_02,2017,2,대구광역시,58.4
398,2017_03,2017,3,대구광역시,59.1
399,2017_04,2017,4,대구광역시,59.3
400,2017_05,2017,5,대구광역시,59.3
401,2017_06,2017,6,대구광역시,59.4
402,2017_07,2017,7,대구광역시,59.6
403,2017_08,2017,8,대구광역시,58.4
404,2017_09,2017,9,대구광역시,58.7
405,2017_10,2017,10,대구광역시,58.0
406,2017_11,2017,11,대구광역시,58.6
407,2017_12,2017,12,대구광역시,58.2
408,2018_01,2018,1,대구광역시,56.6
409,2018_02,2018,2,대구광역시,56.6
410,2018_03,2018,3,대구광역시,56.9
411,2018_04,2018,4,대구광역시,58.1
412,2018_05,2018,5,대구광역시,58.7
413,2018_06,2018,6,대구광역시,59.0
414,2018_07,2018,7,대구광역시,59.3
415,2018_08,2018,8,대구광역시,58.6
416,2018_09,2018,9,대구광역시,58.6
417,2018_10,2018,10,대구광역시,59.1
418,2018_11,2018,11,대구광역시,58.8
419,2018_12,2018,12,대구광역시,58.3
420,2019_01,2019,1,대구광역시,57.1
421,2019_02,2019,2,대구광역시,56.9
422,2019_03,2019,3,대구광역시,57.6
423,2019_04,2019,4,대구광역시,57.9
424,2019_05,2019,5,대구광역시,58.4
425,2019_06,2019,6,대구광역시,58.6
426,2019_07,2019,7,대구광역시,58.3
427,2019_08,2019,8,대구광역시,58.4
428,2019_09,2019,9,대구광역시,58.3
429,2019_10,2019,10,대구광역시,58.1
430,2019_11,2019,11,대구광역시,58.3
431,2019_12,2019,12,대구광역시,57.4
432,2020_01,2020,1,대구광역시,56.7
433,2020_02,2020,2,대구광역시,56.8
434,2020_03,2020,3,대구광역시,53.6
435,2020_04,2020,4,대구광역시,54.0
436,2020_05,2020,5,대구광역시,55.9
437,2020_06,2020,6,대구광역시,56.9
438,2020_07,2020,7,대구광역시,57.1
439,2020_08,2020,8,대구광역시,57.6
440,2020_09,2020,9,대구광역시,57.7
441,2020_10,2020,10,대구광역시,57.7
442,2020_11,2020,11,대구광역시,58.3
443,2020_12,2020,12,대구광역시,57.5
444,2021_01,2021,1,대구광역시,55.5
445,2021_02,2021,2,대구광역시,56.5
446,2021_03,2021,3,대구광역시,58.0
447,2021_04,2021,4,대구광역시,58.2
448,2021_05,2021,5,대구광역시,59.1
449,2021_06,2021,6,대구광역시,59.0
450,2021_07,2021,7,대구광역시,59.0
451,2021_08,2021,8,대구광역시,58.7
452,2021_09,2021,9,대구광역시,59.0
453,2021_10,2021,10,대구광역시,59.0
