,연월,시도,인구밀도,연도,월,사용량
343,2015.08,대구광역시,2817,2015,8,3978655
344,2015.09,대구광역시,2817,2015,9,798506
345,2015.1,대구광역시,2816,2015,10,1433194
346,2015.11,대구광역시,2815,2015,11,885432
347,2015.12,대구광역시,2814,2015,12,1898871
348,2016.01,대구광역시,2814,2016,1,4469940
349,2016.02,대구광역시,2812,2016,2,269702
350,2016.03,대구광역시,2812,2016,3,2600426
351,2016.04,대구광역시,2811,2016,4,2195442
352,2016.05,대구광역시,2811,2016,5,2885332
353,2016.06,대구광역시,2810,2016,6,2037531
354,2016.07,대구광역시,2810,2016,7,511137
355,2016.08,대구광역시,2811,2016,8,4387240
356,2016.09,대구광역시,2811,2016,9,2282183
357,2016.1,대구광역시,2811,2016,10,1512411
358,2016.11,대구광역시,2811,2016,11,10712180
359,2016.12,대구광역시,2810,2016,12,3043750
360,2017.01,대구광역시,2810,2017,1,3733473
361,2017.02,대구광역시,2810,2017,2,741799
362,2017.03,대구광역시,2809,2017,3,1327236
363,2017.04,대구광역시,2808,2017,4,814190
364,2017.05,대구광역시,2808,2017,5,1753708
365,2017.06,대구광역시,2807,2017,6,4127699
366,2017.07,대구광역시,2807,2017,7,266668
367,2017.08,대구광역시,2805,2017,8,2621410
368,2017.09,대구광역시,2803,2017,9,2028323
369,2017.1,대구광역시,2802,2017,10,2731063
370,2017.11,대구광역시,2801,2017,11,1898888
371,2017.12,대구광역시,2800,2017,12,505067
372,2018.01,대구광역시,2798,2018,1,4297030
373,2018.02,대구광역시,2798,2018,2,2238691
374,2018.03,대구광역시,2796,2018,3,1501655
375,2018.04,대구광역시,2795,2018,4,10853826
376,2018.05,대구광역시,2794,2018,5,3125833
377,2018.06,대구광역시,2793,2018,6,3562814
378,2018.07,대구광역시,2792,2018,7,740068
379,2018.08,대구광역시,2791,2018,8,1314568
380,2018.09,대구광역시,2790,2018,9,830839
381,2018.1,대구광역시,2788,2018,10,1782217
382,2018.11,대구광역시,2787,2018,11,4037392
383,2018.12,대구광역시,2784,2018,12,283275
384,2019.01,대구광역시,2783,2019,1,2707435
385,2019.02,대구광역시,2780,2019,2,2062334
386,2019.03,대구광역시,2778,2019,3,2619058
387,2019.04,대구광역시,2776,2019,4,1903234
388,2019.05,대구광역시,2774,2019,5,492245
389,2019.06,대구광역시,2772,2019,6,4377240
390,2019.07,대구광역시,2769,2019,7,2304328
391,2019.08,대구광역시,2767,2019,8,1539605
392,2019.09,대구광역시,2766,2019,9,11464174
393,2019.1,대구광역시,2764,2019,10,3131331
394,2019.11,대구광역시,2761,2019,11,3673374
395,2019.12,대구광역시,2757,2019,12,767227
396,2020.01,대구광역시,2759,2020,1,1342988
397,2020.02,대구광역시,2755,2020,2,847141
