,연월,시도,인구수,연도,월
323,2013.12,대구광역시,2501588,2013,12
324,2014.01,대구광역시,2501823,2014,01
325,2014.02,대구광역시,2500778,2014,02
326,2014.03,대구광역시,2500874,2014,03
327,2014.04,대구광역시,2499880,2014,04
328,2014.05,대구광역시,2498632,2014,05
329,2014.06,대구광역시,2498450,2014,06
330,2014.07,대구광역시,2497705,2014,07
331,2014.08,대구광역시,2496596,2014,08
332,2014.09,대구광역시,2491269,2014,09
333,2014.1,대구광역시,2492994,2014,10
334,2014.11,대구광역시,2493857,2014,11
335,2014.12,대구광역시,2493264,2014,12
336,2015.01,대구광역시,2492658,2015,01
337,2015.02,대구광역시,2492583,2015,02
338,2015.03,대구광역시,2491897,2015,03
339,2015.04,대구광역시,2491545,2015,04
340,2015.05,대구광역시,2491867,2015,05
341,2015.06,대구광역시,2491137,2015,06
342,2015.07,대구광역시,2490799,2015,07
343,2015.08,대구광역시,2490621,2015,08
344,2015.09,대구광역시,2490584,2015,09
345,2015.1,대구광역시,2489847,2015,10
346,2015.11,대구광역시,2489339,2015,11
347,2015.12,대구광역시,2487829,2015,12
348,2016.01,대구광역시,2487823,2016,01
349,2016.02,대구광역시,2486589,2016,02
350,2016.03,대구광역시,2486059,2016,03
351,2016.04,대구광역시,2485663,2016,04
352,2016.05,대구광역시,2485134,2016,05
353,2016.06,대구광역시,2484864,2016,06
354,2016.07,대구광역시,2484856,2016,07
355,2016.08,대구광역시,2485537,2016,08
356,2016.09,대구광역시,2485692,2016,09
357,2016.1,대구광역시,2485484,2016,10
358,2016.11,대구광역시,2485535,2016,11
359,2016.12,대구광역시,2484557,2016,12
360,2017.01,대구광역시,2484688,2017,01
361,2017.02,대구광역시,2484578,2017,02
362,2017.03,대구광역시,2483488,2017,03
363,2017.04,대구광역시,2483105,2017,04
364,2017.05,대구광역시,2482476,2017,05
365,2017.06,대구광역시,2481985,2017,06
366,2017.07,대구광역시,2481489,2017,07
367,2017.08,대구광역시,2479887,2017,08
