,년월,연도,월,시도,사용량,위도,경도
219,2013_7,2013,7,경기도,8325648,37.412505,127.520017
220,2014_7,2014,7,경기도,8529871,37.412505,127.520017
221,2015_7,2015,7,경기도,8494129,37.412505,127.520017
222,2016_7,2016,7,경기도,8997317,37.412505,127.520017
223,2017_7,2017,7,경기도,9771137,37.412505,127.520017
224,2018_7,2018,7,경기도,10296257,37.412505,127.520017
225,2019_7,2019,7,경기도,9730623,37.412505,127.520017
226,2020_7,2020,7,경기도,10406069,37.412505,127.520017
227,2021_7,2021,7,경기도,11597452,37.412505,127.520017
228,2010_8,2010,8,경기도,7961584,37.412505,127.520017
229,2011_8,2011,8,경기도,8077684,37.412505,127.520017
230,2012_8,2012,8,경기도,8351284,37.412505,127.520017
231,2013_8,2013,8,경기도,8781449,37.412505,127.520017
232,2014_8,2014,8,경기도,8604680,37.412505,127.520017
233,2015_8,2015,8,경기도,9262319,37.412505,127.520017
234,2016_8,2016,8,경기도,9808502,37.412505,127.520017
235,2017_8,2017,8,경기도,10298534,37.412505,127.520017
236,2018_8,2018,8,경기도,11686973,37.412505,127.520017
237,2019_8,2019,8,경기도,11713268,37.412505,127.520017
238,2020_8,2020,8,경기도,10976452,37.412505,127.520017
239,2021_8,2021,8,경기도,12196364,37.412505,127.520017
240,2010_9,2010,9,경기도,7659696,37.412505,127.520017
241,2011_9,2011,9,경기도,7742435,37.412505,127.520017
242,2012_9,2012,9,경기도,7963834,37.412505,127.520017
243,2013_9,2013,9,경기도,8104391,37.412505,127.520017
244,2014_9,2014,9,경기도,8075793,37.412505,127.520017
245,2015_9,2015,9,경기도,8605837,37.412505,127.520017
246,2016_9,2016,9,경기도,9050972,37.412505,127.520017
247,2017_9,2017,9,경기도,9494123,37.412505,127.520017
248,2018_9,2018,9,경기도,10161728,37.412505,127.520017
249,2019_9,2019,9,경기도,10267027,37.412505,127.520017
250,2020_9,2020,9,경기도,10912340,37.412505,127.520017
251,2021_9,2021,9,경기도,11371799,37.412505,127.520017
252,2010_10,2010,10,경기도,6868326,37.412505,127.520017
253,2011_10,2011,10,경기도,7370838,37.412505,127.520017
254,2012_10,2012,10,경기도,7394755,37.412505,127.520017
255,2013_10,2013,10,경기도,7628964,37.412505,127.520017
256,2014_10,2014,10,경기도,7860233,37.412505,127.520017
257,2015_10,2015,10,경기도,7991732,37.412505,127.520017
258,2016_10,2016,10,경기도,8323349,37.412505,127.520017
259,2017_10,2017,10,경기도,8547612,37.412505,127.520017
260,2018_10,2018,10,경기도,9131921,37.412505,127.520017
261,2019_10,2019,10,경기도,9519509,37.412505,127.520017
262,2020_10,2020,10,경기도,9507671,37.412505,127.520017
263,2021_10,2021,10,경기도,10387205,37.412505,127.520017
264,2010_11,2010,11,경기도,7866013,37.412505,127.520017
265,2011_11,2011,11,경기도,7768998,37.412505,127.520017
266,2012_11,2012,11,경기도,8204136,37.412505,127.520017
267,2013_11,2013,11,경기도,8216400,37.412505,127.520017
268,2014_11,2014,11,경기도,8280549,37.412505,127.520017
269,2015_11,2015,11,경기도,8471689,37.412505,127.520017
270,2016_11,2016,11,경기도,8926704,37.412505,127.520017
271,2017_11,2017,11,경기도,9438810,37.412505,127.520017
272,2018_11,2018,11,경기도,9791981,37.412505,127.520017
273,2019_11,2019,11,경기도,9728880,37.412505,127.520017
274,2020_11,2020,11,경기도,10142580,37.412505,127.520017
275,2021_11,2021,11,경기도,10761065,37.412505,127.520017
276,2010_12,2010,12,경기도,8452695,37.412505,127.520017
277,2011_12,2011,12,경기도,8516923,37.412505,127.520017
278,2012_12,2012,12,경기도,9219157,37.412505,127.520017
279,2013_12,2013,12,경기도,9104716,37.412505,127.520017
280,2014_12,2014,12,경기도,9333336,37.412505,127.520017
281,2015_12,2015,12,경기도,9265565,37.412505,127.520017
282,2016_12,2016,12,경기도,9783329,37.412505,127.520017
283,2017_12,2017,12,경기도,10720768,37.412505,127.520017
284,2018_12,2018,12,경기도,10712884,37.412505,127.520017
285,2019_12,2019,12,경기도,10799220,37.412505,127.520017
286,2020_12,2020,12,경기도,11253914,37.412505,127.520017
287,2021_12,2021,12,경기도,11803946,37.412505,127.520017
288,2010_1,2010,1,경상남도,2922775,35.460156,128.215601
289,2011_1,2011,1,경상남도,3190181,35.460156,128.215601
290,2012_1,2012,1,경상남도,3044516,35.460156,128.215601
291,2013_1,2013,1,경상남도,3232239,35.460156,128.215601
292,2014_1,2014,1,경상남도,3176345,35.460156,128.215601
293,2015_1,2015,1,경상남도,3299663,35.460156,128.215601
294,2016_1,2016,1,경상남도,3246347,35.460156,128.215601
295,2017_1,2017,1,경상남도,3192935,35.460156,128.215601
296,2018_1,2018,1,경상남도,3393372,35.460156,128.215601
297,2019_1,2019,1,경상남도,3364894,35.460156,128.215601
298,2020_1,2020,1,경상남도,3168932,35.460156,128.215601
299,2021_1,2021,1,경상남도,3449241,35.460156,128.215601
300,2010_2,2010,2,경상남도,2719682,35.460156,128.215601
