,년월,연도,월,시도,사용량
286,2014.2,2014,02,제주특별자치도,392464
287,2014.2,2014,02,충청남도,3924659
288,2014.2,2014,02,충청북도,1900973
289,2015.2,2015,02,강원도,1498837
290,2015.2,2015,02,경기도,9380604
291,2015.2,2015,02,경상남도,3071402
292,2015.2,2015,02,경상북도,3806760
293,2015.2,2015,02,광주광역시,741223
294,2015.2,2015,02,대구광역시,1344788
295,2015.2,2015,02,대전광역시,815725
296,2015.2,2015,02,부산광역시,1736816
297,2015.2,2015,02,서울특별시,4023566
298,2015.2,2015,02,세종특별자치시,222786
299,2015.2,2015,02,울산광역시,2374187
300,2015.2,2015,02,인천광역시,1944363
301,2015.2,2015,02,전라남도,2613495
302,2015.2,2015,02,전라북도,1932315
303,2015.2,2015,02,제주특별자치도,421680
304,2015.2,2015,02,충청남도,3927672
305,2015.2,2015,02,충청북도,1952327
306,2016.2,2016,02,강원도,1550976
307,2016.2,2016,02,경기도,9892365
308,2016.2,2016,02,경상남도,3162965
309,2016.2,2016,02,경상북도,3756360
310,2016.2,2016,02,광주광역시,756943
311,2016.2,2016,02,대구광역시,1364933
312,2016.2,2016,02,대전광역시,844537
313,2016.2,2016,02,부산광역시,1802496
314,2016.2,2016,02,서울특별시,4174917
315,2016.2,2016,02,세종특별자치시,239143
316,2016.2,2016,02,울산광역시,2579198
317,2016.2,2016,02,인천광역시,2022911
318,2016.2,2016,02,전라남도,2775291
319,2016.2,2016,02,전라북도,1993238
320,2016.2,2016,02,제주특별자치도,447375
321,2016.2,2016,02,충청남도,4101465
322,2016.2,2016,02,충청북도,2105112
323,2017.2,2017,02,강원도,1570620
324,2017.2,2017,02,경기도,10228593
325,2017.2,2017,02,경상남도,3216892
326,2017.2,2017,02,경상북도,3858427
327,2017.2,2017,02,광주광역시,773394
328,2017.2,2017,02,대구광역시,1375375
329,2017.2,2017,02,대전광역시,848651
330,2017.2,2017,02,부산광역시,1824630
331,2017.2,2017,02,서울특별시,4166700
332,2017.2,2017,02,세종특별자치시,254773
