,연도,시도,월,사용량
740,2017,세종특별자치시,04,234700
741,2017,울산광역시,04,2559430
742,2017,인천광역시,04,1945739
743,2017,전라남도,04,2791508
744,2017,전라북도,04,1882119
745,2017,제주특별자치도,04,418497
746,2017,충청남도,04,4069578
747,2017,충청북도,04,2027116
748,2018,강원도,04,1370294
749,2018,경기도,04,9563138
750,2018,경상남도,04,2840554
751,2018,경상북도,04,3740997
752,2018,광주광역시,04,685493
753,2018,대구광역시,04,1230455
754,2018,대전광역시,04,752264
755,2018,부산광역시,04,1675122
756,2018,서울특별시,04,3503967
757,2018,세종특별자치시,04,241693
758,2018,울산광역시,04,2620459
759,2018,인천광역시,04,1959511
760,2018,전라남도,04,3292919
761,2018,전라북도,04,1876137
762,2018,제주특별자치도,04,430151
763,2018,충청남도,04,4158538
764,2018,충청북도,04,2090819
765,2019,강원도,04,1376039
766,2019,경기도,04,9948716
767,2019,경상남도,04,2853723
768,2019,경상북도,04,3763435
769,2019,광주광역시,04,706907
770,2019,대구광역시,04,1228571
771,2019,대전광역시,04,753138
772,2019,부산광역시,04,1669235
773,2019,서울특별시,04,3591552
774,2019,세종특별자치시,04,259582
775,2019,울산광역시,04,2677516
776,2019,인천광역시,04,1975424
777,2019,전라남도,04,2791913
778,2019,전라북도,04,1887329
779,2019,제주특별자치도,04,460017
780,2019,충청남도,04,4272633
781,2019,충청북도,04,2224874
782,2020,강원도,04,1346006
783,2020,경기도,04,9788491
784,2020,경상남도,04,2735448
785,2020,경상북도,04,3313283
786,2020,광주광역시,04,660659
787,2020,대구광역시,04,1137812
788,2020,대전광역시,04,720330
789,2020,부산광역시,04,1607069
790,2020,서울특별시,04,3410967
791,2020,세종특별자치시,04,264607
792,2020,울산광역시,04,2702238
793,2020,인천광역시,04,1884823
794,2020,전라남도,04,2587626
795,2020,전라북도,04,1642399
796,2020,제주특별자치도,04,445261
797,2020,충청남도,04,4072519
798,2020,충청북도,04,2155659
799,2021,강원도,04,1334516
800,2021,경기도,04,10338339
801,2021,경상남도,04,2881552
802,2021,경상북도,04,3619611
803,2021,광주광역시,04,696052
804,2021,대구광역시,04,1210022
805,2021,대전광역시,04,751324
