,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019.08,51847538,9744888,3423209,2446745,2956525,1459438,1480520,1150294,332098,13193943,1540780,1599402,2125160,1823982,1867094,2667657,3365282,670521
2019.09,51849253,9740398,3421502,2445270,2956804,1459632,1479641,1149873,333757,13207219,1540721,1599339,2124855,1822883,1865915,2666795,3364039,670610
2019.10,51850705,9736289,3418871,2443528,2956984,1459360,1478436,1149409,336356,13218912,1540897,1599499,2124619,1821813,1865039,2666072,3363883,670738
2019.11,51851427,9732577,3416721,2441581,2957249,1458915,1476955,1148922,338647,13228177,1541399,1599651,2124302,1820799,1865588,2665775,3363274,670895
2019.12,51849861,9729107,3413841,2438031,2957026,1456468,1474870,1148019,340575,13239666,1541502,1600007,2123709,1818917,1868745,2665836,3362553,670989
2020.01,51847509,9733509,3411819,2436488,2956119,1456688,1474152,1147037,342328,13250368,1540540,1599391,2122455,1817302,1864712,2662508,3361344,670749
2020.02,51844627,9736962,3410925,2432883,2954955,1456121,1473125,1145710,343788,13265377,1539521,1598599,2120995,1815112,1861894,2658956,3358828,670876
2020.03,51843195,9733655,3409932,2433568,2952689,1455705,1471858,1144563,344792,13288975,1538577,1597639,2119749,1812936,1859290,2653418,3355341,670508
2020.04,51842524,9726787,3408347,2431523,2950972,1456096,1471650,1144098,345216,13311254,1537780,1596613,2118457,1811619,1857083,2651054,3353380,670595
2020.05,51841371,9724496,3406942,2429059,2950063,1455533,1471915,1143148,345373,13324041,1538639,1596710,2118510,1810097,1855945,2648760,3351347,670793
2020.06,51839408,9720846,3404423,2427954,2947217,1455048,1471040,1142190,345341,13338020,1539282,1597593,2119771,1808802,1854618,2646493,3349454,671316
2020.07,51839852,9715429,3402776,2428022,2945565,1454709,1470225,1141362,346217,13351891,1540094,1597936,2120692,1808044,1853339,2644001,3347637,671913
2020.08,51839953,9708247,3401072,2428228,2943491,1454154,1469431,1140310,347232,13370714,1540689,1598162,2120519,1807094,1851985,2640932,3345169,672524
2020.09,51841786,9699232,3399749,2426849,2942553,1453952,1469099,1139368,348014,13388485,1541104,1598536,2120559,1806441,1851124,2640003,3343770,672948
